id,value
Groups,
Group.1.Hama,70
Group.2.Uruk,67
Group.3.Oin,65
Group.4.Bilbo,63
Group.5.Galadriel,62
Group.6.Theodred,62
Group.7.Thorin,60
Group.8.Bounder,59
Group.9.Faramir,58
Group.10.Eomer,57
Group.10.Otho,57
Group.9.Smaug,57
Group.8.Bifur,56
Group.7.Denethor,55
Group.6.Merry,55
Group.5.Eldarion,54
Group.4.Eothain,54
Group.3.Gandalf,52
Group.2.Mauhur,52
Group.1.Sam,52
Group.1.Celeborn,50
Group.2.Lurtz,50
Group.3.Elendil,48
Group.4.Grishnakh,48
Group.5.Idril,48
Group.6.Elrond,47
Group.7.Isildur,47
Group.8.Legolas,47
Group.9.Maiar,47
Group.10.Sauron,47
Group.10.Gorbag,45
Group.9.Irolas,45
Group.8.Madril,45
Group.7.Morwen,45
Group.6.Pippin,45
Group.5.Bereg,44
Group.4.Freda,44
Group.3.Hardang,44
Group.2.Aldor,43
Group.1.Bombadil,43
Group.4.Dwalin,43
Group.5.Fili,43
Group.6.Smeagol,43
Group.7.Bombur,42
Group.10.Boromir,42
Group.9.Elendur,42
Group.8.Kili,42
Group.7.Aragorn,41
Group.6.Bofur,41
Group.5.Grimbold,41
Group.4.Ugluk,41
Group.3.Dorlas,39
Group.2.Rian,39
Group.1.Quickbeam,38
Group.1.Arwen,37
Group.2.Balin,37
Group.3.Borin,37
Group.4.Damrod,37
Group.5.Gamgee,36
Group.6.Ferny,35
Group.7.Frodo,35
Group.8.Sharku,35
Group.9.Eowyn,34
Group.10.Theoden,33
Group.10.Haldir,32
Group.9.Pelendur,32
Group.8.Shagrat,32
Group.7.Haleth,31
Group.6.Lindir,31
Group.5.Gimli,30
Group.4.Gollum,30
Group.3.Deagol,29
Group.2.Ohtar,21
Group.1.Nessa,12
