Country,Avoid fare on public transport,Abortion,Cheating on taxes,Homosexuality,Divorce,Prostitution,Claming government benefits,Highest educational level
Azerbaijan,2.225,3.585,2.56,1.3,3.66,1.425,1.975,6.745
Argentina,2.475,3.1675,1.8575,4.9175,6.125,3.65,3.055,4.817
Australia,2.243333333,5.42,2.026666667,5.703333333,6.543333333,4.506666667,1.8,5.639
Armenia,2.685,3.42,2.88,1.58,3.935,1.595,2.695,6.624
Brazil,3.595,2.37,3.085,4.41,5.915,3.08,2.495,4.5275
Chile3.0675,2.615,1.9875,4.4725,5.64,3.2575,3.6175,5.095
China,1.9,3.0575,1.8275,1.575,3.6275,1.375,2.9175,4.73775
Colombia,3.21,1.896666667,1.586666667,3.286666667,4.45,2.205,2.2,5.277666667
Germany,2.085,4.86,2.2,6.18,6.495,4.375,2.045,4.9155
India,2.16,2.6525,2.1175,2.355,3.1825,2.3125,2.475,4.35825
Iraq,2.42,1.83,2.88,1.73,2.536666667,0,2.8,4.522
South Korea,2.746666667,3.416666667,1.646666667,2.953333333,4.57,2.355,2.82,6.78
Malaysia,3.17,2.555,3.075,2.695,3.205,2.565,3.455,5.368
Mexico,3.94,2.83,2.495,3.7925,4.7625,3.2925,3.8975,4.95125
Morocco,1.906666667,1.73,1.493333333,1.26,3.923333333,0,1.813333333,2.621333333
New Zealand,2.09,5.186666667,2.113333333,5.356666667,6.53,4.41,1.9,6.528
Nigeria,2.326666667,1.893333333,2.023333333,1.66,2.55,1.786666667,1.953333333,5.215
Philippines,3.716666667,2.723333333,3.286666667,4.04,3.49,3.266666667,3.71,5.751333333
Poland,2.26,3.2,2.423333333,3.126666667,4.71,2.38,2.41,5.026333333
Qatar,1.86,1.84,0,1.33,3.36,0,3.27,6.669
Rwanda,1.885,1.98,2.165,1.515,2.715,1.77,2.21,3.8885
South Africa,2.995,3.0325,2.8675,3.2425,4.075,2.7825,3.045,5.32025
Zimbabwe,1.945,1.675,1.985,1.46,2.585,1.635,2.12,4.3195
Spain,2.18,5.07,1.9675,6.3475,6.775,4.573333333,2.18,4.4615
Sweden,2.77,7.5625,2.3475,7.8225,8.0025,3.356666667,2.085,6.32475
Turkey,1.835,2.22,1.31,1.7,3.305,1.76,1.625,4.8445
Ukraine,3.9,3.95,3.056666667,2.343333333,5.09,2.42,3.09,6.349
Egypt,1.87,0,1.765,0,4.955,0,2.235,4.664
United States,2.4425,4.405,1.995,4.62,5.8325,2.95,2.11,6.646
Uruguay,2.333333333,4.043333333,1.763333333,5.296666667,6.903333333,4.56,2.14,4.381666667
